split_group_id,split
01BR001,train
01BR008,train
01BR015,train
01BR017,train
01BR018,train
01BR020,train
01BR031,train
01BR032,train
01BR033,train
01BR040,train
01BR043,train
03BR005,train
03BR010,train
03BR011,train
03BR013,train
05BR001,train
05BR003,train
05BR004,train
05BR005,train
05BR016,train
06BR003,train
06BR005,train
06BR014,train
09BR001,train
09BR004,train
09BR005,train
11BR003,train
11BR006,train
11BR010,train
11BR011,train
11BR013,train
11BR014,train
11BR016,train
11BR018,train
11BR019,train
11BR020,train
11BR022,train
11BR023,train
11BR024,train
11BR025,train
11BR028,train
11BR030,train
11BR031,train
11BR038,train
11BR043,train
11BR044,train
11BR047,train
11BR053,train
11BR054,train
11BR056,train
11BR058,train
11BR059,train
11BR060,train
11BR073,train
11BR074,train
11BR075,train
11BR076,train
11BR078,train
13BR009,train
14BR008,train
16BR012,train
18BR002,train
18BR003,train
18BR006,train
18BR007,train
18BR009,train
18BR016,train
18BR017,train
18BR019,train
20BR005,train
20BR006,train
20BR008,train
21BR001,train
22BR005,train
01BR009,val
01BR025,val
01BR026,val
01BR042,val
03BR006,val
05BR009,val
05BR029,val
05BR043,val
11BR032,val
11BR040,val
11BR042,val
11BR072,val
11BR080,val
18BR004,val
18BR010,val
20BR001,val
20BR002,val
22BR006,val
01BR010,test
01BR023,test
01BR027,test
01BR030,test
03BR002,test
03BR004,test
06BR006,test
09BR007,test
11BR009,test
11BR012,test
11BR015,test
11BR017,test
11BR027,test
11BR036,test
11BR049,test
11BR050,test
11BR051,test
11BR055,test
11BR057,test
14BR005,test
14BR014,test
15BR003,test
20BR007,test
21BR002,test
21BR010,test
