split_group_id,split
01BR001,train
01BR008,train
01BR009,train
01BR010,train
01BR018,train
01BR023,train
01BR025,train
01BR026,train
01BR027,train
01BR033,train
01BR042,train
03BR002,train
03BR004,train
03BR011,train
03BR013,train
05BR003,train
05BR004,train
05BR005,train
05BR016,train
05BR029,train
05BR043,train
06BR003,train
06BR005,train
06BR006,train
09BR005,train
09BR007,train
11BR003,train
11BR006,train
11BR009,train
11BR011,train
11BR012,train
11BR014,train
11BR015,train
11BR019,train
11BR022,train
11BR023,train
11BR024,train
11BR027,train
11BR028,train
11BR031,train
11BR032,train
11BR036,train
11BR038,train
11BR042,train
11BR043,train
11BR044,train
11BR049,train
11BR050,train
11BR051,train
11BR053,train
11BR056,train
11BR057,train
11BR058,train
11BR059,train
11BR076,train
11BR078,train
11BR080,train
14BR005,train
14BR008,train
14BR014,train
15BR003,train
18BR003,train
18BR006,train
18BR009,train
18BR016,train
18BR017,train
18BR019,train
20BR001,train
20BR002,train
20BR005,train
20BR007,train
21BR001,train
21BR002,train
21BR010,train
22BR005,train
22BR006,train
01BR030,val
01BR031,val
03BR005,val
06BR014,val
09BR001,val
11BR017,val
11BR030,val
11BR040,val
11BR055,val
11BR072,val
11BR073,val
11BR075,val
16BR012,val
18BR002,val
18BR004,val
18BR007,val
18BR010,val
20BR008,val
01BR015,test
01BR017,test
01BR020,test
01BR032,test
01BR040,test
01BR043,test
03BR006,test
03BR010,test
05BR001,test
05BR009,test
09BR004,test
11BR010,test
11BR013,test
11BR016,test
11BR018,test
11BR020,test
11BR025,test
11BR047,test
11BR054,test
11BR060,test
11BR074,test
13BR009,test
20BR006,test
