split_group_id,split
01BR009,train
01BR010,train
01BR017,train
01BR020,train
01BR023,train
01BR026,train
01BR027,train
01BR030,train
01BR032,train
01BR033,train
01BR042,train
01BR043,train
03BR002,train
03BR004,train
03BR005,train
03BR006,train
03BR010,train
05BR005,train
05BR009,train
05BR016,train
05BR029,train
05BR043,train
06BR006,train
09BR001,train
09BR007,train
11BR003,train
11BR009,train
11BR010,train
11BR011,train
11BR012,train
11BR013,train
11BR014,train
11BR015,train
11BR016,train
11BR020,train
11BR023,train
11BR024,train
11BR025,train
11BR027,train
11BR028,train
11BR031,train
11BR036,train
11BR038,train
11BR040,train
11BR044,train
11BR047,train
11BR049,train
11BR050,train
11BR051,train
11BR054,train
11BR055,train
11BR057,train
11BR059,train
11BR060,train
11BR074,train
11BR075,train
11BR076,train
11BR078,train
13BR009,train
14BR005,train
14BR014,train
15BR003,train
18BR002,train
18BR003,train
18BR004,train
18BR006,train
18BR010,train
18BR017,train
18BR019,train
20BR001,train
20BR002,train
20BR005,train
20BR006,train
20BR007,train
21BR002,train
22BR006,train
01BR001,val
01BR015,val
01BR040,val
03BR013,val
05BR001,val
06BR003,val
09BR004,val
09BR005,val
11BR017,val
11BR018,val
11BR030,val
11BR032,val
11BR056,val
11BR073,val
18BR007,val
18BR009,val
20BR008,val
21BR010,val
01BR008,test
01BR018,test
01BR025,test
01BR031,test
03BR011,test
05BR003,test
05BR004,test
06BR005,test
06BR014,test
11BR006,test
11BR019,test
11BR022,test
11BR042,test
11BR043,test
11BR053,test
11BR058,test
11BR072,test
11BR080,test
14BR008,test
16BR012,test
18BR016,test
21BR001,test
22BR005,test
