split_group_id,split
01BR001,train
01BR008,train
01BR009,train
01BR010,train
01BR015,train
01BR018,train
01BR020,train
01BR023,train
01BR025,train
01BR027,train
01BR030,train
01BR031,train
01BR040,train
01BR043,train
03BR002,train
03BR004,train
03BR006,train
03BR010,train
05BR001,train
05BR003,train
05BR009,train
05BR016,train
05BR029,train
05BR043,train
06BR005,train
06BR006,train
09BR004,train
09BR007,train
11BR006,train
11BR009,train
11BR010,train
11BR011,train
11BR012,train
11BR013,train
11BR015,train
11BR016,train
11BR018,train
11BR020,train
11BR022,train
11BR025,train
11BR027,train
11BR028,train
11BR036,train
11BR038,train
11BR043,train
11BR047,train
11BR049,train
11BR050,train
11BR051,train
11BR053,train
11BR055,train
11BR056,train
11BR057,train
11BR058,train
11BR060,train
11BR072,train
11BR074,train
11BR075,train
11BR080,train
14BR008,train
14BR014,train
15BR003,train
16BR012,train
18BR004,train
18BR006,train
18BR010,train
18BR016,train
18BR017,train
20BR001,train
20BR005,train
20BR006,train
20BR008,train
21BR001,train
21BR002,train
22BR005,train
22BR006,train
01BR017,val
01BR032,val
03BR011,val
03BR013,val
05BR004,val
06BR014,val
09BR001,val
11BR017,val
11BR019,val
11BR030,val
11BR042,val
11BR054,val
13BR009,val
14BR005,val
18BR002,val
18BR003,val
20BR007,val
21BR010,val
01BR026,test
01BR033,test
01BR042,test
03BR005,test
05BR005,test
06BR003,test
09BR005,test
11BR003,test
11BR014,test
11BR023,test
11BR024,test
11BR031,test
11BR032,test
11BR040,test
11BR044,test
11BR059,test
11BR073,test
11BR076,test
11BR078,test
18BR007,test
18BR009,test
18BR019,test
20BR002,test
